Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
699527, -9.67, -0.1, -0.1, -0.18, -0.18, -0.18, 29.61, 0
699722, -9.6, -0.1, -0.1, -0.09, -0.09, -0.09, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
700067, -9.63, -0.1, -0.1, -0.19, -0.19, -0.19, 29.47, 0
700256, -9.64, -0.1, -0.1, -0.15, -0.15, -0.15, 29.56, 0
700472, -9.74, -0.1, -0.1, -0.13, -0.13, -0.13, 29.51, 0
700669, -9.63, -0.1, -0.1, -0.16, -0.16, -0.16, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
701013, -9.63, -0.1, -0.1, -0.26, -0.26, -0.26, 29.47, 0
701202, -9.67, -0.1, -0.1, -0.19, -0.19, -0.19, 29.56, 0
701418, -9.62, -0.1, -0.1, -0.2, -0.2, -0.2, 29.47, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
701831, -9.62, -0.1, -0.1, -0.17, -0.17, -0.17, 29.51, 0
702032, -9.61, -0.1, -0.1, -0.08, -0.08, -0.08, 29.61, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
702377, -9.62, -0.1, -0.1, -0.16, -0.16, -0.16, 29.56, 0
702566, -9.67, -0.1, -0.1, -0.18, -0.18, -0.18, 29.56, 0
702761, -9.67, -0.1, -0.1, -0.08, -0.08, -0.08, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
703106, -9.62, -0.1, -0.1, -0.13, -0.13, -0.13, 29.51, 0
703295, -9.67, -0.1, -0.1, -0.05, -0.05, -0.05, 29.51, 0
703513, -9.66, -0.1, -0.1, -0.08, -0.08, -0.08, 29.51, 0
703708, -9.66, -0.1, -0.1, -0.26, -0.26, -0.26, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
704053, -9.6, -0.1, -0.1, -0.08, -0.08, -0.08, 29.47, 0
704242, -9.61, -0.1, -0.1, -0.17, -0.17, -0.17, 29.51, 0
704458, -9.61, -0.1, -0.1, -0.15, -0.15, -0.15, 29.51, 0
704592, -9.63, -0.1, -0.1, -0.14, -0.14, -0.14, 29.51, 0
704793, -9.69, -0.1, -0.1, -0.19, -0.19, -0.19, 29.56, 0
704982, -9.63, -0.1, -0.1, -0.14, -0.14, -0.14, 29.56, 0
705177, -9.66, -0.1, -0.1, -0.16, -0.16, -0.16, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
705522, -9.69, -0.1, -0.1, -0.25, -0.25, -0.25, 29.51, 0
705711, -9.68, -0.1, -0.1, -0.13, -0.13, -0.13, 29.51, 0
705927, -9.67, -0.1, -0.1, -0.07, -0.07, -0.07, 29.61, 0
706122, -9.59, -0.1, -0.1, -0.16, -0.16, -0.16, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
706467, -9.64, -0.1, -0.1, -0.24, -0.24, -0.24, 29.56, 0
706656, -9.67, -0.1, -0.1, -0.12, -0.12, -0.12, 29.56, 0
706872, -9.66, -0.1, -0.1, -0.27, -0.27, -0.27, 29.51, 0
707067, -9.64, -0.1, -0.1, -0.12, -0.12, -0.12, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
707412, -9.62, -0.1, -0.1, -0.08, -0.08, -0.08, 29.47, 0
707597, -9.64, -0.1, -0.1, -0.13, -0.13, -0.13, 29.56, 0
707798, -9.55, -0.1, -0.1, -0.13, -0.13, -0.13, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
708143, -9.66, -0.1, -0.1, -0.07, -0.07, -0.07, 29.51, 0
708332, -9.65, -0.1, -0.1, -0.17, -0.17, -0.17, 29.61, 0
708548, -9.68, -0.1, -0.1, -0.09, -0.09, -0.09, 29.56, 0
708743, -9.63, -0.1, -0.1, -0.03, -0.03, -0.03, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
709088, -9.67, -0.1, -0.1, -0.18, -0.18, -0.18, 29.51, 0
709277, -9.62, -0.1, -0.1, -0.14, -0.14, -0.14, 29.51, 0
709493, -9.66, -0.1, -0.1, -0.14, -0.14, -0.14, 29.47, 0
709685, -9.66, -0.1, -0.1, -0.12, -0.12, -0.12, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
710030, -9.67, -0.1, -0.1, -0.1, -0.1, -0.1, 29.56, 0
710219, -9.65, -0.1, -0.1, -0.08, -0.08, -0.08, 29.56, 0
710435, -9.63, -0.1, -0.1, -0.17, -0.17, -0.17, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
710849, -9.67, -0.1, -0.1, -0.1, -0.1, -0.1, 29.51, 0
711050, -9.63, -0.1, -0.1, -0.02, -0.02, -0.02, 29.47, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
711395, -9.6, -0.1, -0.1, -0.12, -0.12, -0.12, 29.56, 0
711585, -9.61, -0.1, -0.1, 0.0, 0.0, 0.0, 29.47, 0
711802, -9.67, -0.1, -0.1, -0.04, -0.04, -0.04, 29.51, 0
711997, -9.65, -0.1, -0.1, -0.16, -0.16, -0.16, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
